Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,Churn Value,CLTV,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
5,Offer E,Yes,45.76,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.8,563.6,1,1,5273,Female,72,No,Yes,Yes,No,0
27,Offer E,Yes,7.02,No,Cable,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,2118.89,1,1,4517,Female,80,No,Yes,Yes,No,0
4,Offer E,Yes,48.35,Yes,Cable,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,0.0,0,193.4,539.6,1,1,5808,Female,74,No,Yes,No,No,0
1,Offer E,Yes,45.81,Yes,Fiber Optic,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,0.0,0,45.81,131.51,1,1,4880,Female,68,No,Yes,No,No,0
65,Offer B,Yes,18.39,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.35,7981.75,1,1,4196,Female,78,No,Yes,Yes,No,0
49,Offer B,Yes,22.92,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.08,5670.33,2,1,5059,Male,75,No,Yes,Yes,No,0
43,Offer B,Yes,14.52,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,2,1,2728,Male,77,No,Yes,Yes,No,0
56,Offer B,Yes,48.8,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.8,8527.449999999999,1,1,6268,Male,80,No,Yes,Yes,No,0
20,Offer E,Yes,5.31,Yes,Fiber Optic,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,0.0,0,106.2,2005.85,1,1,5604,Male,75,No,Yes,Yes,No,0
2,Offer E,Yes,47.47,Yes,Fiber Optic,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,0.0,0,94.94,256.44,2,1,2065,Female,69,No,Yes,No,No,0
8,Offer E,Yes,27.95,No,Fiber Optic,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,0.0,0,223.6,387.9,2,1,5432,Female,74,No,Yes,No,No,0
52,Offer E,No,0.0,No,DSL,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,2580.9,2,1,5597,Male,76,No,Yes,No,No,0
2,Offer E,Yes,43.99,No,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,0.0,0,87.98,179.08,2,1,3475,Male,69,No,Yes,No,No,0
33,Offer E,Yes,27.78,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,4022.29,3,1,4333,Male,72,No,Yes,Yes,No,0
30,Offer E,Yes,45.88,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,0.0,0,1376.4,4134.55,1,1,2482,Female,69,No,Yes,No,No,0
20,Offer E,Yes,44.44,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,2851.6,3,1,5444,Male,73,No,Yes,No,No,0
46,Offer E,Yes,2.37,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,0.0,0,109.02,4983.820000000001,1,1,2403,Female,65,No,Yes,No,No,0
7,Offer E,Yes,21.91,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,0.0,0,153.37,797.72,3,1,3265,Male,74,No,Yes,Yes,No,0
4,Offer E,Yes,36.93,No,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,0.0,0,147.72,440.52,3,1,5301,Female,65,No,Yes,No,No,0
55,Offer E,Yes,37.38,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,7665.200000000001,3,1,5679,Female,66,No,Yes,No,No,0
20,Offer E,Yes,5.37,No,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,1570.9,1,1,5849,Male,71,No,Yes,Yes,No,0
9,Offer E,Yes,48.71,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,0.0,0,438.39,1356.99,1,1,4038,Male,65,No,Yes,No,No,0
10,Offer E,Yes,5.46,No,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,0.0,30,54.6,773.25,1,1,3189,Male,69,No,Yes,No,No,0
1,Offer E,Yes,36.92,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,0.0,0,36.92,110.47,2,1,4369,Male,75,No,Yes,Yes,No,0
3,Offer E,Yes,41.9,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,1,1,3501,Female,75,No,Yes,No,No,0
4,Offer E,Yes,6.68,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,0.0,0,26.72,386.8200000000001,1,1,2467,Female,68,No,Yes,No,No,0
35,Offer E,Yes,20.83,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,4244.85,1,1,2074,Male,71,No,Yes,No,No,0
2,Offer E,Yes,26.62,No,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39,2,1,5900,Male,80,No,Yes,No,No,0
8,Offer E,Yes,11.57,No,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,0.0,0,92.56,924.91,1,1,5084,Male,66,No,Yes,No,No,0
44,Offer E,No,0.0,No,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,1359.7,1,1,4829,Male,73,No,Yes,Yes,No,0
62,Offer E,Yes,7.11,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,6824.17,1,1,5052,Male,77,No,Yes,Yes,No,0
33,Offer E,Yes,33.19,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,3751.77,2,1,3601,Female,76,No,Yes,Yes,No,0
4,Offer E,Yes,49.5,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2,1,5419,Female,65,No,Yes,No,No,0
27,Offer E,Yes,10.6,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,2180.15,1,1,2377,Male,75,No,Yes,Yes,No,0
8,Offer E,Yes,40.45,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,1,1,5906,Male,75,No,Yes,No,No,0
3,Offer E,Yes,25.77,No,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,1,1,4486,Female,68,No,Yes,Yes,No,0
8,Offer E,Yes,42.93,No,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,1,1,5662,Female,71,No,Yes,No,No,0
14,Offer E,Yes,11.31,No,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,0.0,0,158.34,1424.44,3,1,4777,Male,74,No,Yes,No,No,0
12,Offer E,No,0.0,No,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0,0,0.0,526.95,1,1,2437,Male,77,No,Yes,No,No,0
13,Offer E,Yes,40.37,No,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,0.0,0,524.81,1465.16,1,1,2995,Female,73,No,Yes,No,No,0
11,Offer E,Yes,3.96,No,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,1091.26,2,1,2202,Female,68,No,Yes,No,No,0
17,Offer E,Yes,28.18,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,0.0,0,479.06,2101.51,3,1,5508,Male,74,No,Yes,Yes,No,0
39,Offer E,Yes,33.25,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,5581.55,3,1,4687,Male,65,No,Yes,Yes,No,0
11,Offer E,Yes,17.25,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,1323.4,3,1,4553,Female,73,No,Yes,Yes,No,0
3,Offer E,Yes,3.29,No,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.87,233.92,2,1,3834,Female,74,No,Yes,Yes,No,0
21,Offer E,Yes,34.62,No,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,1963.17,1,1,4716,Male,80,No,Yes,No,No,0
16,Offer E,Yes,38.75,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,2149.2,2,1,5913,Female,76,No,Yes,No,No,0
46,Offer E,Yes,6.13,No,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,4424.2,0.0,0,281.98,4706.18,2,1,3180,Female,73,No,Yes,No,No,0
68,Offer A,Yes,24.13,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.440000000001,1,1,5651,Female,70,No,Yes,Yes,No,0
7,Offer E,Yes,13.63,No,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41,772.11,2,1,3077,Male,75,No,Yes,Yes,No,0
15,Offer E,Yes,45.25,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,1,1,4981,Male,74,No,Yes,Yes,No,0
16,Offer E,Yes,19.18,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1587.88,3,1,2508,Male,76,No,Yes,No,No,0
1,Offer E,Yes,29.68,No,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,2,1,4371,Female,75,No,Yes,No,No,0
1,Offer E,No,0.0,No,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,25.2,0.0,0,0.0,25.2,1,1,5688,Female,74,No,Yes,No,No,0
13,Offer E,Yes,19.03,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1290.0,0.0,0,247.39,1537.39,1,1,2230,Female,73,No,Yes,No,No,0
1,Offer E,Yes,20.06,No,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,79.2,0.0,0,20.06,99.26,3,1,4363,Female,69,No,Yes,No,No,0
34,Offer E,Yes,2.88,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,3315.47,1,1,3369,Female,75,No,Yes,Yes,No,0
4,Offer E,Yes,12.68,No,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,442.85,0.0,0,50.72,493.5700000000001,1,1,2268,Female,65,No,Yes,No,No,0
2,Offer E,Yes,19.27,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,170.85,0.0,0,38.54,209.39,3,1,4193,Female,77,No,Yes,No,No,0
9,Offer E,Yes,30.8,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,732.5,0.0,0,277.2,1009.7,2,1,5745,Male,67,No,Yes,No,No,0
5,Offer E,Yes,42.33,No,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,0.0,0,211.65,561.3,1,1,4028,Female,78,No,Yes,No,No,0
22,Offer D,Yes,40.18,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,1,1,4458,Male,65,No,Yes,No,No,0
19,Offer D,Yes,39.97,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,1,1,5683,Male,74,No,Yes,No,No,0
15,Offer D,Yes,46.38,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.35,3,1,2099,Male,70,No,Yes,No,No,0
1,Offer E,Yes,11.34,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,74.7,0.0,0,11.34,86.04,1,1,3348,Male,69,No,Yes,No,No,0
1,Offer E,No,0.0,No,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,25.8,0.0,20,0.0,45.8,1,1,3884,Female,76,No,Yes,No,No,0
10,Offer D,Yes,41.37,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,0.0,0,413.7,1312.05,1,1,5353,Male,71,No,Yes,No,No,0
3,Offer E,Yes,30.14,No,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45.0,127.1,0.0,10,90.42,227.52,3,1,4145,Female,76,No,Yes,No,No,0
12,Offer D,Yes,6.97,No,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1033.84,2,1,5374,Male,77,No,Yes,Yes,No,0
2,Offer E,Yes,6.51,No,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,0.0,0,13.02,178.42,2,1,2803,Male,74,No,Yes,No,No,0
1,Offer E,Yes,49.6,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,88.8,0.0,10,49.6,148.4,1,1,3106,Male,77,No,Yes,No,No,0
13,Offer D,Yes,1.47,No,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,1188.46,1,1,3861,Male,76,No,Yes,Yes,No,0
23,Offer D,Yes,31.17,No,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,0.0,0,716.9100000000001,3010.51,2,1,2740,Female,77,No,Yes,No,No,0
17,Offer D,Yes,36.82,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,2089.39,1,1,3209,Female,80,No,Yes,Yes,No,0
17,Offer E,Yes,40.93,No,DSL,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.05,770.6,0.0,0,695.81,1466.41,1,1,3797,Male,68,No,Yes,No,No,0
42,Offer E,Yes,9.53,Yes,Fiber Optic,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.65,3541.35,0.0,0,400.26,3941.61,2,1,4871,Female,79,No,Yes,No,No,0
1,Offer E,Yes,42.3,No,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1,79.1,0.0,0,42.3,121.4,3,1,5001,Male,65,No,Yes,No,No,0
1,Offer E,Yes,39.78,No,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0,39.78,89.93,2,1,3438,Male,68,No,Yes,No,No,0
1,Offer E,Yes,34.51,No,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,34.51,104.11,1,1,3438,Female,72,No,Yes,No,No,0
41,Offer E,Yes,27.95,Yes,Fiber Optic,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,113.2,4689.5,0.0,0,1145.95,5835.45,1,1,3380,Female,66,No,Yes,No,No,0
13,Offer E,Yes,26.11,No,Fiber Optic,4,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.5,1201.15,29.84,140,339.43,1650.74,1,1,5394,Male,68,No,Yes,No,No,0
32,Offer E,Yes,5.99,Yes,Fiber Optic,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.0,2642.05,49.57,0,191.68,2784.16,1,1,4584,Male,69,No,Yes,Yes,No,0
32,Offer E,Yes,49.6,Yes,Fiber Optic,10,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.3,2661.1,0.0,0,1587.2,4248.3,1,1,2712,Male,76,No,Yes,Yes,No,0
